Metric,Q1_Mar2026,FY_Dec2025,Q4_Dec2025,Q3_Sep2025,Q2_Jun2025,Q1_Mar2025,FY_Dec2024,Q4_Dec2024,Q3_Sep2024,Q2_Jun2024,Q1_Mar2024,FY_Dec2023,Q4_Dec2023,Q3_Sep2023,Q2_Jun2023,Q1_Mar2023,FY_Dec2022,Q4_Dec2022,Q3_Sep2022,Q2_Jun2022
  accounts payable,380.11M,365.23M,365.23M,306.94M,254.93M,289.08M,250.36M,250.36M,184.56M,177.89M,227.13M,211.42M,211.42M,172.18M,162.87M,190.89M,174.82M,174.82M,139.58M,142.84M
  Total tax payable,40.13M,39.2M,39.2M,33.53M,29.84M,24.48M,18.23M,18.23M,21.62M,20.62M,23.1M,20.07M,20.07M,19.69M,16.51M,14.04M,11.47M,11.47M,16.83M,14.46M
  Other payable,24.08M,23.74M,23.74M,18.6M,20.54M,17.35M,13.07M,13.07M,14.32M,15.27M,13.81M,12.29M,12.29M,9.88M,14.88M,10.29M,14.01M,14.01M,14.53M,18.42M
Current provisions,3.09M,3.55M,3.55M,2.02M,2M,2.38M,2.58M,2.58M,1.58M,1.64M,1.54M,1.71M,1.71M,1.21M,1.68M,1.08M,1.88M,1.88M,1.19M,1.08M
Current deferred liabilities,453.79M,207.14M,207.14M,239.32M,319.82M,378.73M,166.59M,166.59M,202.88M,279.34M,343.43M,138.85M,138.85M,179.83M,241.98M,288.19M,116.99M,116.99M,152.49M,197.49M
Other current liabilities,-1K,1K,1K,-1K,--,-2K,--,--,--,--,-1K,-1K,-1K,--,--,1K,2K,2K,1K,1K
Current liabilities,1.03B,1.02B,1.02B,1.03B,798.32M,995.99M,700.19M,700.19M,742.34M,762.65M,895.56M,566.04M,566.04M,577.69M,655.71M,677.11M,570.14M,570.14M,534.3M,544.78M
Long term debt and capital lease obligation,418M,414.65M,414.65M,405.01M,408.75M,109.04M,102.49M,102.49M,96.05M,131.36M,105.72M,106.14M,106.14M,103.13M,105.49M,81.57M,77.91M,77.91M,145.13M,173.1M
  Long term debt,352.58M,347.22M,347.22M,338.82M,341.27M,53.14M,49.3M,49.3M,49.26M,89.88M,62.97M,64.62M,64.62M,65.47M,65.81M,44.94M,41.28M,41.28M,106.2M,133.02M
  Long term capital lease obligation,65.43M,67.44M,67.44M,66.2M,67.48M,55.9M,53.19M,53.19M,46.79M,41.48M,42.75M,41.52M,41.52M,37.67M,39.68M,36.64M,36.63M,36.63M,38.93M,40.08M
